#,X,y,z,Length,Width,Gamma,Alpha,Description,Exclude
1-Jan,-39.49,68.22,260.99,0.86,0.75,90.4,60.5,,
1-Feb,-41.15,67.94,245.4,0.54,0.48,93.4,62.8,,
1-Mar,-50.73,67.85,236.66,0.89,0.85,90.2,73.1,,
1-Apr,-52.11,67.81,222.68,0.64,0.62,91.3,76.5,,
1-May,-44.56,68.01,219.59,0.31,0.24,268.1,52.9,,
1-Jun,-51.55,68.35,138.48,0.57,0.16,273,16.7,,
2-Jun,-53.9,68.35,138.35,0.44,0.39,271.1,60.8,,
1-Jul,-51.21,68.27,124.3,0.24,0.21,284.8,63.4,,
2-Jul,-53.81,68.3,126.62,0.41,0.36,280.1,61.6,,
1-Aug,-50.25,68.43,103.35,0.74,0.62,276,57.2,,
2-Aug,-50.5,68.46,98.6,0.35,0.29,282.6,54.9,,
1-Sep,-50.32,68.49,90.92,0.43,0.31,269.5,46.1,,
2-Sep,-49.35,68.49,89.43,0.54,0.4,268.7,47.4,,
3-Sep,-49.76,68.49,87.16,0.5,0.4,267.5,52.4,,
1-Oct,-50.78,68.56,69.36,1.08,0.75,272.8,44.2,,
1-Nov,-48.61,68.64,54.37,0.27,0.12,269.9,27.1,,
2-Nov,-52.31,68.48,51.03,0.54,0.28,264,31.1,,
3-Nov,-52.61,68.58,47.6,0.32,0.18,262.6,33.2,,
1-Dec,-52.4,68.55,42.43,0.68,0.4,269.7,35.5,,
13-1,-54.46,66.64,11.15,0.64,0.28,268.4,25.8,,
14-1,-55.06,61.37,0.56,0.43,0.38,85.6,61.8,,
15-1,-55.57,48.85,0.6,0.65,0.6,93,68.7,,
15-2,-54.86,51.43,0.64,0.62,0.57,90.6,65.7,,
16-1,-55.05,41.01,0.57,0.85,0.75,85.8,62.9,,
16-2,-54.82,35.35,0.45,0.65,0.61,85.1,68.3,,
17-1,-55.69,21.81,0.39,0.8,0.78,88.8,79.1,,
17-2,-55.79,26.15,0.46,0.52,0.5,89.6,75.8,,
18-1,-52.65,7.59,0.42,0.47,0.46,274.5,80.2,,
18-2,-52.87,9.67,0.41,0.69,0.64,270,68.5,,
18-3,-52.7,11.07,0.42,0.75,0.67,270,63.2,,
18-4,-52.43,12.33,0.44,0.39,0.38,268.3,77.2,,
18-5,-53.96,14.97,0.38,0.56,0.54,268.4,75.9,,
19-1,-52.77,4.13,0.33,0.41,0.36,0.5,63,,
19-2,-52.74,3.29,0.33,0.47,0.44,0.6,71.3,,
19-3,-52.96,0.56,0.35,0.36,0.35,0.6,73.2,,
19-4,-54.66,-1.07,0.39,0.42,0.39,0,70.1,,
19-5,-52.88,-4.35,0.38,0.54,0.44,1.9,56,,
